Res Id,Room Name,Adults,Nights,Arrival,Departure,Total MXN
6037394013585,STONE HOUSE,2,1,24/03/2026,25/03/2026,2268.00
6037394013585-2,SAND HOUSE,3,1,24/03/2026,25/03/2026,2268.00
6037394013585-3,MOON CABIN,3,1,24/03/2026,25/03/2026,2466.00
6037394013585-4,SUN CABIN,3,1,24/03/2026,25/03/2026,2466.00
6037394013585-5,CAREY HOUSE,3,1,24/03/2026,25/03/2026,2826.00
6037394013585-6,CASA CARETTA,2,1,24/03/2026,25/03/2026,3024.00
6037394013585-7,TINY HOUSE STAR,2,1,24/03/2026,25/03/2026,2466.00
6037394013585-8,LORA HOUSE,2,1,24/03/2026,25/03/2026,3852.00
,,,,,,
,,,,,Subtotal,21636.00
,,,,,VAT,2379.96
,,,,,Grand Total,24015.96
,,,,,Balance Due,2379.96
